,idx,tweet,image_id,description,type,degree,nature,uid
0,0,A giant 150yearold banyan tree in Lahaina Hawaii was badly burned in the fires that ravaged Maui last month Then green shoots began to unfurl around its trunk hinting at the possibility of recovery for the tree and the community,tweetImg0.jpg,An image of a burned Banyan tree with the text: Historic burned Banyon tree shows signs of recovery,not_hallucination,noHallucination,noHallucination,1
1,1,Have you ever wondered why we name hurricanes The New York Times meteorologist Judson Jones explains,tweetImg1.jpg,An image of people running in the rain from the film,not_hallucination,noHallucination,noHallucination,1
2,2,The third annual New York Times Restaurant List is here It wasnt easy to narrow it down but here are the 50 best restaurants in the US,tweetImg2.jpg,An image of a bowl of food with the text,not_hallucination,noHallucination,noHallucination,1
3,3,It is the best chili I ever made or ate So much flavor so good This recipe makes a thick comforting chili that can be prepared in a slow cooker or in a Dutch oven on the stovetop,tweetImg3.jpg,An image of a bowl of chilli,not_hallucination,noHallucination,noHallucination,1
4,4,After experiencing an unsolicited wave of viral fame the owners of the wine and ice cream bar Folderol in Paris took a number of measures to manage crowds including hiring a bouncer and putting up a No TikTok sign,tweetImg4.jpg,An image of people standing outside a bakery in Paris,not_hallucination,noHallucination,noHallucination,1
5,5,Deported people must come back home and the occupier must return to their own land President Zelensky of Ukraine presented Russias aggression as a worldwide unrelenting threat that would not stop at the borders of Ukraine at the UN General Assembly,tweetImg5.jpg,"An image of a man in a green shirt with the words ""United Nations, New York, Sept. 19, 2020""",hallucination,low,wrongReading,1
6,6,Dear tomato season Its not goodbye its until we meet again,tweetImg6.jpg,An image of a tomato and parsley in a bowl,not_hallucination,noHallucination,noHallucination,1
7,7,At 14 Marcos Cux was maimed while working the overnight cleaning shift at a Perdue slaughterhouse in rural Virginia Hes just one of the thousands of migrant children trapped in dangerous jobs across the US,tweetImg7.jpg,An image of a young man in a green rain jacket sitting on a stool with the headline: The Kids on the Night Shift,hallucination,low,wrongReading,1
8,8,From TheAthletic Order was restored during Week 2 of the NFL season We ranked every team from the No 1 Cowboys to the No 32 Cardinals,tweetImg8.jpg,An image of the Miami Dolphins quarterback throwing the ball during a game,hallucination,alarming,contextualGuessing,1
9,9,If we allow Ukraine to be carved up is the independence of any nation secure President Biden asked world leaders at the UN General Assembly on Tuesday where he condemned Russias naked aggression,tweetImg9.jpg,"An image of Joe Biden speaking at the UN, with the title ""United Nations, New York, Sept. 19, 2021"" and the date of the speech",hallucination,low,wrongReading,1
10,10,From TheAthletic The Padres 2023 season unfolded like a nightmare One player called it an institutional failure San Diego has questions to answer including how long they can stick with AJ Preller,tweetImg10.jpg,"An image of Farhan Zaidi, wearing a suit and tie, looking out from behind a fence.",hallucination,alarming,identityIncongruity,1
11,11,Eric Kims mother tasted his innovative version of bibimbap and told him shed never make it the traditional way again,tweetImg11.jpg,An image of a bowl of bibimbap with chopsticks and a spoon,hallucination,alarming,contextualGuessing,1
12,12,Companies like the celebrityendorsed Prenuvo claim they can revolutionize preventive health care with fully body MRIs Experts warn this might not be the right approach,tweetImg12.jpg,"An image of a full body MRI machine with the words ""The New Status Symbol is a full-body MRI"" overlaid.",hallucination,low,wrongReading,1
13,13,Shakira Karol G Camilo and Bad Bunny are among the most nominated acts for the 24th annual Latin Grammy Awards But leading all of the headliners is the Mexican American hitmaker Edgar Barrera also known as Edge who earned 13 total nominations,tweetImg13.jpg,An image of a man holding a Grammy award,not_hallucination,noHallucination,noHallucination,1
14,14,People from Montana to Missouri reported sightings of the aurora borealis on Monday night as the phenomenon stained the night sky with green and purple blotches,tweetImg14.jpg,An image of the northern lights taken from a field in the countryside,not_hallucination,noHallucination,noHallucination,1
15,15,From TheAthletic On the ice his body takes thunderous hits Off the ice it makes art,tweetImg15.jpg,An image of a hockey player looking at the camera.,not_hallucination,noHallucination,noHallucination,1
16,16,Singapore designed an entire neighborhood with heat in mind A mix of tall medium and short buildings works like a sail to capture cool sea breezes and direct them to the pedestrian level,tweetImg17.jpg,"An image of the Singapore skyline and Gardens by the Bay, with the Marina Bay Sands hotel and casino in the foreground and the iconic Marina Bay Tower in the background.",not_hallucination,noHallucination,noHallucination,1
17,17,Singapore encourages the integration of greenery directly into buildings by offering financial incentives for rooftop gardens and vertical green facades They work as natural blinds shading the structure and reducing the need for air conditioning,tweetImg18.jpg,An image of a building with green plants growing on its balconies,not_hallucination,noHallucination,noHallucination,1
18,18,The design of this Singapore hospital funnels cool breezes from a neighboring pond bringing cool air into the building It integrates trees and plants to provide shade and reduce the heat absorbed by the building from the sun,tweetImg19.jpg,"An image of a building and a pond in the city of Jakarta, Indonesia",hallucination,alarming,geographicErratum,1
19,19,Nearly every aspect of how we build cities amplifies heat from the buildings we live in to the cars we drive But Singapore which has warmed at twice the global average over the past six decades may have lessons for other cities,tweetImg20.jpg,An image of a city with a heat map overlay,not_hallucination,noHallucination,noHallucination,1
20,20,This soup is fantastic My family devoured the whole pot This taco soup is summer and fall in one spicy satisfying bowl,tweetImg21.jpg,An image of a bowl of chili,not_hallucination,noHallucination,noHallucination,1
21,21,Watch Prime Minister Justin Trudeau of Canada say on Monday that agents of the Indian government had carried out the killing of a Sikh community leader in British Columbia in June,tweetImg22.jpg,"An image of Justin Trudeau speaking in the House of Commons, with the words ""Ottawa, Sept. 18, 2019"" and a date of Sept. 18 in the upper right corner.",hallucination,low,wrongReading,1
22,22,Dont think about all the Instagramworthy pantries youve seen over the years and try to emulate them when organizing your own You need something that works for you not the internet Heres an easy stepbystep plan to organize your pantry,tweetImg23.jpg,"An image of a pantry with jars and containers and the text ""How to Organize Your Pantry So It Works for You (Not Instagram) and Keep It That Way"" overlaid on it.",not_hallucination,noHallucination,noHallucination,1
23,23,A woman found a rare NC Wyeth illustration while rummaging though frames at a Savers thrift store in New Hampshire Her bill for the longlost work which is expected to sell at auction on Tuesday for between 150000 and 250000 Four dollars,tweetImg24.jpg,"An image of a thrift store with a picture of Jesus and a book on a shelf and the text A $4 Thrift Store Find Could Sell for $250,000",hallucination,alarming,contextualGuessing,1
24,24,A herd of 2000 rhinoceroses urgently in need of a new owner has finally found one The rhinos and the farm where they live in South Africa have been purchased by a conservation group that plans to release the animals into the wild over the next decade,tweetImg25.jpg,An image of a baby rhino and other rhinos in the background,not_hallucination,noHallucination,noHallucination,1
25,25,From TheAthletic Even a 15foot wall in a Brooklyn art studio is no match for one of the NHLs most thunderous checkers Jacob Trouba has unveiled his previously unknown art skills But the Rangers captain uses his body not a brush,tweetImg27.jpg,An image of a hockey player looking at the camera.,not_hallucination,noHallucination,noHallucination,1
26,26,This is my kind of recipe Low effort good reward comes together quickly and doesnt leave me with a mountain of dirty dishes Amen These satiny coconutginger beans make for a delicious dinner with rice and greens,tweetImg28.jpg,An image of a bowl of black beans and corn tortillas with a spoon,not_hallucination,noHallucination,noHallucination,1
27,27,Boarding a redeye without a travel pillow in your bag is like choosing to sleep on the floor when theres a perfectly good futon nearby After taking crosscountry flights our Wirecutter experts found a travel pillow they cant fly without,tweetImg29.jpg,An image of travel pillows,hallucination,low,wrongReading,1
